Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10
36.3002,20.4292,0.359722,0,0.0418823,0,0,0,0,0
12.9444,13.0707,8.62111,7.68378,0.492618,0,0,1.17823,0,0
27.1845,3.68602,11.1911,0.488015,0,0,0,0,0,0
19.4463,25.4691,1.04494,15.2932,0,0,0,0,0,0
20.7095,18.2049,23.4871,0,0,0,0,0,0,0
9.16634,19.6361,8.14093,0.00219191,0.0776829,0,0,0,0,0
16.689,3.01192,3.22906,1.80548,0,0,0,0,0,0
33.1582,0.77266,2.98514,0.17581,3.12017,0,0,0,0,0
15.3976,14.1467,21.1098,1.71675,0.0512942,0.00960402,0,0,0,0
46.1192,4.05456,0.849344,0,0,0,0,0,0,0
25.9205,11.9217,0.584502,0,0,0,0,0,0,0
33.3007,18.0152,0,0.736575,0,0,0,0,0,0
55.1364,16.0044,0.803851,0,0,0,0,0,0,0
25.4235,12.4994,2.65175,0.363972,0.0292038,0,0,0,0,0
30.7463,8.16427,0.893958,0.173689,0,0,0,0,0,0
8.25465,16.843,30.8249,0.880768,0.463816,0,0,0,0,0
3.61295,41.3921,3.33427,1.19916,0.211428,0,0,0,0,0
21.0852,4.92243,10.5354,9.547,0,0,0,0,0,0
28.4799,13.7231,16.4822,0,0.0448935,0,0,0,0,0
31.0402,21.4578,1.51043,0,0,0,0,0,0,0
14.8418,10.5489,0.20389,0,0,0,0,0,0,0
14.5271,26.6916,11.2517,2.70737,0,0,0,0,0,0
20.2755,11.8429,12.1542,1.20005,0,0,0,0,0,0
9.37627,8.42178,5.897,2.43389,0.330256,0,0,0,0,0
21.8932,18.6868,2.71638,0.270245,0.530022,0,0,0,0,0
18.3533,2.20384,0.851539,1.49012,0.0387942,0,0,0,0,0
15.1804,4.07593,13.4878,0.0105218,0.731622,1.30881,0,0,0,0
29.9749,12.1728,0.972867,3.43005,0,0,0,0,0,0
40.4324,16.1714,1.71532,0.00856823,0.458269,0,0,0,0,0
14.4652,4.98595,8.38086,0.413757,0,0,0,0,0,0
7.72947,22.6526,6.80351,3.45784,0,0,0,0,0,0
6.77646,16.7696,1.1884,0,1.16416,0,0,0,0.0801704,0
28.1902,15.4958,7.51751,0.32538,0,0,0,0,0,0
29.0833,3.9402,0.602716,0.958162,0.363269,0.262261,0,0,0,0
26.2303,23.7912,5.26874,0.18686,0,0,0,0,0,0
16.4931,19.736,8.58995,0.200771,3.89239,0.117255,0,0,0,0
22.2835,11.5283,10.5158,0.666955,0,0,0,0,0,0
25.0705,12.1754,14.3819,0.537139,0,0.0123179,0,0,0,0
34.5155,3.17947,6.47142,0.107111,0.122661,0,0,0,0,0
34.9716,2.28164,5.97368,0.20471,0,1.18502,0,0,0,0
3.24125,30.4911,16.7368,12.0429,0,0,0,0,0,0
33.5505,4.95444,3.69583,0.38251,0,0,0,0,0,0
18.7983,8.08287,3.29406,0,0,0,0,0,0,0
12.398,13.0164,6.44804,0.0747938,0,0,0,0,0,0
31.8183,4.86722,16.6064,1.0059,0.203944,0,0,0,0,0
13.6241,39.0313,12.838,2.66729,0,0,0,0,0,0
16.8118,5.732,0.108555,0.086121,0.0124077,0,0,0,0,0
27.4846,2.05238,6.87601,0.340134,0,0,0,0,0,0
2.95669,27.2273,8.8509,0.322953,0.0136912,0,0,0,0,0
18.2273,1.22506,3.96438,0.0904415,0,0,0,0,0,0
37.2613,1.97167,10.8775,0.197231,0,0,0,0,0,0
18.3143,7.80308,4.7114,1.2857,0.181284,0,0,0,0,0
46.4123,11.4882,0.0815559,0,0,0,0,0,0,0
40.248,8.53053,1.98814,0.0583666,0,0,0,0,0,0
46.7788,14.4559,3.28092,0.0714037,2.22746,0.0276231,0,0,0,0
21.7427,2.56106,4.54218,0.141088,0.11288,4.15352,0,0,0,0
21.3414,2.62529,0.49514,0,0,0.651629,0,0,0,0
20.4252,9.07947,10.5062,1.62478,0,0,0,0,0,0
13.333,5.37361,11.2826,4.36285,0,0,0,0,0,0
24.4747,15.4844,8.71631,2.84468,0,0,0,0,0,0
12.7395,15.16,0.51648,0.124109,0,0,0,0,0,0
20.5107,15.7145,1.0728,0,0,0,0,0,0,0
32.0308,6.19248,0.493857,0.227294,0,0.0540474,0,0,0,0
11.5503,4.96828,10.5962,9.93113,10.9179,0.660447,0,0,0,0
22.8937,15.8026,8.26022,6.24014,0,0,0,0,0,0
39.3292,21.1537,1.50436,1.08388,3.43393,0.0689324,0.45871,0,0,0
5.86125,12.0407,4.92028,1.14401,3.56449,0.943684,0,0,0,0
19.3239,17.8654,2.60623,0,0,0,0,0,0,0
20.1562,0.509373,7.75267,9.34363,0.00572083,0,0,0,0,0
24.4401,10.2605,6.51291,0.256035,0.0323416,0,0,0,0,0
27.8881,24.4136,3.83096,1.6392,0,0,0,0,0,0
28.4127,8.73276,0.173022,4.27722,0,0,0,0,0,0
30.5817,6.77723,11.6442,0.301402,0,0,0,0,0,0
40.6807,7.8053,4.05027,0,0.157159,0,0,0,0,0
43.1829,7.49573,0.389188,0,0,0,0,0,0,0
25.9237,12.4911,1.01746,0.279523,0,0,0,0,0,0
