Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10
7.11083,6.70769,18.6717,4.95804,4.30622,0.514509,0,0,0,0
21.7471,2.66187,3.10193,0.00191796,0.518447,0,0,0,0,0
3.85729,3.08718,4.39626,3.44724,2.82097,4.24115,4.44866,3.8811,4.53922,3.41926
3.2618,54.2688,23.203,6.98115,4.60888,0,0,0,0,0
5.21855,23.9278,36.212,5.38837,0.395877,0,0,0,0,0
5.12223,4.20061,2.86357,3.29856,6.76923,3.16356,5.27693,3.13283,4.46104,4.03583
7.2489,5.63025,0,0.672343,3.58223,0,0,0,0,0
3.46703,3.28142,5.48078,5.72475,6.43572,0.739019,0.00215627,0,0,0
5.08436,22.2179,13.7261,24.7469,6.41496,0.568105,4.32684,0,0,0
7.40704,1.31218,0.338763,1.37554,1.5628,6.9973,0.0235915,0,0,0
2.85207,3.39954,3.78405,3.55166,83.8117,0.0887196,2.06356,0,0.17243,1.34881
2.92762,4.57425,124.068,10.0634,1.10041,0,0,0,0,0
83.8724,12.6868,0.187265,0.101358,0,0,0,0,0.262322,0
5.38481,0.00146276,0,0,0,0,0,0,0,0
11.5544,8.3404,10.38,20.941,1.25823,0,0,0,0,0
2.87746,9.04391,5.73944,6.8908,0,0,1.37953,0.716359,3.02358,0.217854
2.81518,20.0369,1.39256,0.00014808,0,0,0,0,0,0
4.08807,3.20832,3.11872,4.08871,3.63282,2.98072,10.8016,5.18987,12.3036,3.91263
20.1045,5.68035,60.6678,0.101764,0.0780102,0.424859,4.45936e-06,0,0,0
7.48211,15.2015,19.711,0.231321,1.61173,0,0,0,0,0
2.49816,0.187049,0,0,2.122,0.39253,0,0,0,0
46.9972,28.9967,4.98312,0.375106,0,0,0,0,0,0
5.0413,18.0132,15.3547,3.2118,3.02172,0.516081,0,0,0,0
4.18157,9.99959,1.1955,0.0639823,14.9756,7.44954,2.16409,0.120383,0,0
22.338,0.0526973,0,0,0,0,0,0,0,0
3.49488,31.1213,13.6521,0.0605147,0.660664,0,0,0,0,0
2.82224,2.91075,3.0505,4.89034,3.27141,7.93522,1.46182,16.9999,14.5223,0
3.55782,4.34474,4.1105,3.68098,4.26851,11.6334,33.5586,6.30263,0,0.379674
3.29768,3.2855,4.02228,3.05414,5.552,5.17883,3.65977,3.26177,3.66159,12.4546
3.67525,4.2054,14.7253,47.378,21.741,0.266048,0,0,0,0
4.22492,3.19522,2.89338,2.89968,7.47525,5.01171,4.35121,3.54787,4.15803,3.12638
7.81628,38.3988,5.14753,0,0,0,0,0,0,0
3.06848,50.8233,8.90799,0.913982,0,0,0,0,0,0
3.72138,0.0787729,0,0,0,0,0,0,0,0
10.3068,7.47863,6.85793,5.72436,26.3642,3.54399,1.20766,0.579899,1.57854,0
6.3729,57.5699,10.4739,0.00157225,1.68285,0,0,0,0,0
2.92937,4.54972,2.95153,2.98809,8.5096,3.24821,12.0286,2.29733,0,0
4.07984,1.9111,44.2849,0.835804,0,0,0,0,0,0
0.000328233,2.46552,15.697,15.7829,6.1745,4.21353,0.709185,2.68132,0,0
3.24018,3.25843,24.0294,61.0353,1.38338,0.742267,0,0,0,0
3.70767,9.0897,6.62108,3.23669,2.02148,0,0,0,0,0
24.4145,3.12064,3.47417,0.282388,0,0,0,0,0,0
6.15846,2.9941,3.642,2.87197,2.86658,2.82957,3.59477,2.8791,3.31378,2.96485
3.22409,3.00891,3.70319,3.84183,39.1011,1.91964,0,0.264158,0,0
18.7711,9.752,0.395656,0.00490033,0,0,0,0,0,0
5.55553,41.7143,10.2991,2.31765,0.368631,3.81146,0,0,0,0
53.9178,0.589801,0,0,0,38.4395,0,0,0,0
28.7804,10.6596,4.42967,0,0,0,0,0,0,0
36.9412,1.41722,0.160172,0,0,0,0,0,0,0
2.96327,2.98912,6.68178,6.04297,13.3969,5.52077,0.109987,0,0,0
7.07632,6.02442,7.96669,2.77026,20.867,0.000409608,0,0,0.318107,0
26.3339,14.8594,1.71698,0,0,0,0,0,0,0
34.9428,0.896065,2.17371,0.0566125,0,0,0,0,0,0
14.5855,16.9072,48.5182,0,4.71532,0,0,0,0,0
2.76689,3.43749,4.97895,13.3716,28.1056,1.44966,0,1.25255,0.752355,0
4.96792,32.1924,19.9584,2.00375,0.348917,0.098972,0,0,0,0
33.7902,0.465635,4.42185,0.000752002,0,0,0,0,0,0
14.8632,5.40514,4.87587,0.557674,0,2.18266,0.434214,0.387817,0.564827,0.0194846
27.2914,17.356,2.3396,0.221498,1.61761,0.240294,9.11733e-05,0,0,0
7.53068,78.9032,6.64791,6.18663,8.34568,16.1766,0,0,0,0
8.38274,10.6873,4.25393,3.75575,0.0726249,0,0,0,0,0
3.31321,3.86593,8.09511,9.57768,10.5917,0,0,0,0,0
2.99893,8.64374,3.70775,5.8976,4.11615,5.5622,3.79649,1.48219,2.39507,0.00011736
3.83231,3.45166,5.08609,44.4854,0.194953,1.16118,3.28943,0.125974,0.107023,1.77684
7.21878,3.45914,3.04115,3.95732,3.36714,13.6199,11.1292,33.7108,0,0
7.5839,13.2452,8.74633,1.28973,1.20621e-05,0,0,0,0,0
56.0567,13.9444,4.58199,0.200405,0,0,0,0,0,0
3.27912,0,0,0,2.00723e-05,2.86311,0.0187902,0.0123777,0,0
21.5717,33.7921,0,5.30961,0.927506,0,0,0,0,0
2.95988,3.79337,10.2277,29.3528,53.521,1.55279,0.510662,2.90696,0.295349,0
0.591266,9.9285,0,0,0.531326,0,0,0,0,0
60.8499,4.58193,0,0,0,0,0,0,0,0
3.51803,2.92623,3.51922,3.00766,3.35726,4.28115,3.67851,11.9902,4.32324,0.791204
22.395,4.68074,5.77142,6.40793,0.254343,9.45956e-05,0,0,0,0
77.8221,9.62301,1.35547,0,0.398024,0.027726,0,0,0,0
0.296606,0.791897,0.307814,0,0,0,0,0,0,0
4.6205,9.45156,6.45162,0,0,0,0,0,0,0
2.83128,10.2054,12.8276,36.2651,0,0,0,0,0,0
34.7789,0.0460442,12.6309,0,0,0,0,0,0,0
0.402149,0,0.663226,0.281596,0.0136522,0,0,0,0,0
3.14139,3.72438,3.54508,7.78416,4.50989,9.63786,22.2233,0,0.0654632,0
5.67259,3.14787,3.25733,3.36767,4.32773,3.23479,18.8227,6.78499,15.0881,0
3.27546,0.221868,0.0390054,0,0,0,0,0,0,0
14.627,4.37165,4.95781,11.5066,24.6918,0,0,0,0,0
3.04722,10.244,4.57551,5.44984,5.92319,6.81792,9.80001,0,0,0
1.74913,8.28067,0.392899,0,0,0,0,0,0,0
4.9235,4.05083,10.3199,0.99446,0.428942,0.0438005,0,0,0,0
3.85829,2.86351,3.15317,3.48829,3.24557,4.1296,31.234,6.48449,56.3922,0
3.28302,5.52176,2.88863,3.27237,3.96266,3.40218,2.98301,3.30661,2.9467,3.61905
2.7311,3.22866,10.4351,4.25698,2.84161,0,0,0,0,0
9.79445,6.2398,0.165411,23.6093,0,0,0,0,0,0
29.9829,11.1507,1.94553,3.47508e-05,0.220703,0,0,0,0,0
5.78828,2.88989,4.50953,3.22537,8.3476,3.10672,6.2203,9.94538,1.64356,0.356027
3.55304,11.2837,20.0858,4.3186,0.403449,0.0570084,0,0,0,0
7.39145,23.1386,71.2687,4.78215,0,1.00276,0,0,0,0
5.65609,24.4706,4.82349,4.94575,2.70408,8.22022,0.359548,2.05043,0.180963,0
6.61365,16.7264,12.1248,1.78883,0.126431,0,0,0,0,0
0.226688,0.649881,0,0,0,0,0,0,0,0
3.09359,6.10394,4.03152,23.3127,1.17549,0.801281,2.05829,0,0,0
4.488,5.03308,8.36139,0.707914,2.37957,0.0590106,0.465024,0,0,0
5.48668,3.4972,4.5343,3.48835,35.3435,7.66472,0.62024,4.33207,0.00135988,0
5.37559,3.0879,3.45223,3.10142,3.45163,3.03301,3.12989,3.7507,3.19505,3.20794
2.97182,3.50397,4.2891,3.03482,0.136019,0,0,0,0,0
6.74082,3.15975,2.00148,0,2.35914,0,0,0,0,0
2.28781,2.92825,3.42771,1.12253,0,0,0,0,0,0
6.77326,8.13264,14.2768,39.9588,1.01479,0.0484452,0,0.149445,0,0
35.2109,9.46458,21.4574,0,0,0,0,0,0,0
3.04099,3.23596,2.94093,8.86962,3.34818,3.68549,32.7534,62.6989,30.9436,0.0280733
3.30697,4.22402,3.97871,3.16355,3.09766,3.90316,3.20538,3.14641,3.30994,3.5661
4.43732,3.58609,3.10586,3.97374,27.5773,4.44702,0.73081,0.0780824,1.85241,0.165134
5.63802,36.5753,1.47629,0.000327339,6.07575,0,0,0,0,0
13.3875,146.938,30.0781,1.42872,0.551795,4.67303,0,0,0,0
12.6658,20.5427,0.692973,0,0,0.656963,0,0,0,0
5.23425,3.26218,4.48827,2.93043,3.28665,3.31794,3.58488,2.93254,5.58491,3.55166
3.27513,3.58863,3.11767,5.4575,68.8625,3.04245,0.207072,0.200075,2.78461e-06,0
3.31743,3.51217,4.13078,3.19713,3.09061,2.8593,2.9695,7.96718,6.34886,7.53463
3.80318,4.99277,5.32365,3.19651,2.8307,3.0974,3.08429,3.66924,3.55809,4.55556
4.04227,6.92886,29.8603,0.322998,0.759685,0.826788,0,0,0,0
4.50289,33.3875,0.751828,1.07189,0,0,0,0,0,0
10.7407,2.14962,0.27313,0,0,0,0,0,0,0
4.01904,4.10524,6.06123,1.47805,0,0,0,0,0,0
6.57674,31.5551,9.80543,15.7723,0,0,0,0,0,0
